rank,name,team,position,bye,adp,hasMarketAdp,fairRank,marketDelta,marketLabel,lateRoundLabel,week1Projection,seasonProjection,projectedGames,riskScore,riskTags,joannaNote,jeffNote
96,Kyle Monangai,CHI,RB,10,103.8,true,96,7.8,Fair At Cost,,8.49,147.89,16,1.3,Q; Knee,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 96, ADP 104, delta +8. Season 8.7 ppg, Week 1 8.5, risk 1.3 (Q; Knee)."
97,Travis Kelce,KC,TE,5,93.9,true,97,-3.1,Fair At Cost,,7.56,130.17,15,0.35,15 projected games,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 97, ADP 94, delta -3. Season 7.7 ppg, Week 1 7.6, risk 0.3 (15 projected games)."
98,KC Concepcion,CLE,WR,11,128.3,true,98,30.3,Buy Ahead,,7.04,123.78,16,0,,Worth taking a bit before ADP if he fits your roster; our board is 30 picks higher than the market and the Week 1 role looks usable.,"Fair 98, ADP 128, delta +30. Season 7.3 ppg, Week 1 7.0, risk 0.0."
99,Stefon Diggs,WAS,WR,7,108.3,true,99,9.3,Fair At Cost,,7.51,126.65,15,0.35,15 projected games,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 99, ADP 108, delta +9. Season 7.5 ppg, Week 1 7.5, risk 0.3 (15 projected games)."
100,Justin Herbert,LAC,QB,7,69.7,true,100,-30.3,Let Fall,,18.64,279.65,16,0,,"Good player, but the room is paying for most of the upside. Take him only if he slips near your pick.","Fair 100, ADP 70, delta -30. Season 16.4 ppg, Week 1 18.6, risk 0.0."
101,Caleb Williams,CHI,QB,10,68.1,true,101,-32.9,Let Fall,,17.57,284.1,16,0,,"Good player, but the room is paying for most of the upside. Take him only if he slips near your pick.","Fair 101, ADP 68, delta -33. Season 16.7 ppg, Week 1 17.6, risk 0.0."
102,Jake Ferguson,DAL,TE,14,115.4,true,102,13.4,Buy Ahead,,6.94,119.33,16,0,,Worth taking a bit before ADP if he fits your roster; our board is 13 picks higher than the market and the Week 1 role looks usable.,"Fair 102, ADP 115, delta +13. Season 7.0 ppg, Week 1 6.9, risk 0.0."
103,Romeo Doubs,NE,WR,11,131.8,true,103,28.8,Buy Ahead,,6.88,118.83,16,0,,Worth taking a bit before ADP if he fits your roster; our board is 29 picks higher than the market and the Week 1 role looks usable.,"Fair 103, ADP 132, delta +29. Season 7.0 ppg, Week 1 6.9, risk 0.0."
104,Hunter Henry,NE,TE,11,127.8,true,104,23.8,Buy Ahead,,6.77,118.92,16,0,,Worth taking a bit before ADP if he fits your roster; our board is 24 picks higher than the market and the Week 1 role looks usable.,"Fair 104, ADP 128, delta +24. Season 7.0 ppg, Week 1 6.8, risk 0.0."
105,Michael Pittman Jr.,PIT,WR,9,119.9,true,105,14.9,Discount With Reason,,8.47,138.49,16,1.3,Q; Hamstring,"Interesting discount, but it is not free value. The reason to slow down: Q, Hamstring. Draft only if your roster already has stable starters.","Fair 105, ADP 120, delta +15. Season 8.1 ppg, Week 1 8.5, risk 1.3 (Q; Hamstring)."
106,J.K. Dobbins,DEN,RB,10,96.8,true,106,-9.2,Fair At Cost,,7.27,136.43,14,0.9,14 projected games,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 106, ADP 97, delta -9. Season 8.0 ppg, Week 1 7.3, risk 0.9 (14 projected games)."
107,Isaiah Likely,NYG,TE,8,109.1,true,107,2.1,Fair At Cost,,7.25,114.16,16,0,,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 107, ADP 109, delta +2. Season 6.7 ppg, Week 1 7.3, risk 0.0."
108,Dallas Goedert,PHI,TE,10,106.4,true,108,-1.6,Fair At Cost,,7.81,118.51,15,0.35,15 projected games,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 108, ADP 106, delta -2. Season 7.0 ppg, Week 1 7.8, risk 0.3 (15 projected games)."
109,Dalton Kincaid,BUF,TE,7,99.1,true,109,-9.9,Fair At Cost,,6.6,117.76,16,0,,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 109, ADP 99, delta -10. Season 6.9 ppg, Week 1 6.6, risk 0.0."
110,Makai Lemon,PHI,WR,10,111.8,true,110,1.8,Fair At Cost,,6.32,118.8,16,0,,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 110, ADP 112, delta +2. Season 7.0 ppg, Week 1 6.3, risk 0.0."
111,Sam LaPorta,DET,TE,6,63,true,111,-48,Trap,,8.6,142.43,15,1.65,Q; Hip; 15 projected games,Do not chase the name or story here; price is ahead of our fair value and the risk/role picture is not clean enough.,"Fair 111, ADP 63, delta -48. Season 8.4 ppg, Week 1 8.6, risk 1.6 (Q; Hip; 15 projected games)."
112,Jared Goff,DET,QB,6,114.5,true,112,2.5,Fair At Cost,,17.05,278.98,16,0,,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 112, ADP 115, delta +3. Season 16.4 ppg, Week 1 17.1, risk 0.0."
113,Juwan Johnson,NO,TE,8,127.7,true,113,14.7,Buy Ahead,,6.96,110.76,16,0,,Worth taking a bit before ADP if he fits your roster; our board is 15 picks higher than the market and the Week 1 role looks usable.,"Fair 113, ADP 128, delta +15. Season 6.5 ppg, Week 1 7.0, risk 0.0."
114,Tyjae Spears,TEN,RB,9,133.3,true,114,19.3,Buy Ahead,,6.87,110.52,16,0,,Worth taking a bit before ADP if he fits your roster; our board is 19 picks higher than the market and the Week 1 role looks usable.,"Fair 114, ADP 133, delta +19. Season 6.5 ppg, Week 1 6.9, risk 0.0."
115,Chris Rodriguez Jr.,JAX,RB,7,131.8,true,115,16.8,Buy Ahead,,6.74,111.3,16,0,,Worth taking a bit before ADP if he fits your roster; our board is 17 picks higher than the market and the Week 1 role looks usable.,"Fair 115, ADP 132, delta +17. Season 6.5 ppg, Week 1 6.7, risk 0.0."
116,Rashid Shaheed,SEA,WR,11,128.3,true,116,12.3,Buy Ahead,,6.77,111.07,16,0,,Worth taking a bit before ADP if he fits your roster; our board is 12 picks higher than the market and the Week 1 role looks usable.,"Fair 116, ADP 128, delta +12. Season 6.5 ppg, Week 1 6.8, risk 0.0."
117,Trevor Lawrence,JAX,QB,7,84.8,true,117,-32.2,Let Fall,,16.16,283.28,16,0,,"Good player, but the room is paying for most of the upside. Take him only if he slips near your pick.","Fair 117, ADP 85, delta -32. Season 16.7 ppg, Week 1 16.2, risk 0.0."
118,Tucker Kraft,GB,TE,11,60.9,true,118,-57.1,Trap,,8.72,148.11,14,2.2,Q; Knee - ACL; 14 projected games,Do not chase the name or story here; price is ahead of our fair value and the risk/role picture is not clean enough.,"Fair 118, ADP 61, delta -57. Season 8.7 ppg, Week 1 8.7, risk 2.2 (Q; Knee - ACL; 14 projected games)."
119,Brenton Strange,JAX,TE,7,128.9,true,119,9.9,Fair At Cost,,6.01,113.15,16,0,,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 119, ADP 129, delta +10. Season 6.7 ppg, Week 1 6.0, risk 0.0."
120,Bo Nix,DEN,QB,10,99.9,true,120,-20.1,Let Fall,,16.44,278.25,16,0,,"Good player, but the room is paying for most of the upside. Take him only if he slips near your pick.","Fair 120, ADP 100, delta -20. Season 16.4 ppg, Week 1 16.4, risk 0.0."
121,Jakobi Meyers,JAX,WR,7,129,true,121,8,Fair At Cost,,7.28,132.7,16,1.3,Q; Hand,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 121, ADP 129, delta +8. Season 7.8 ppg, Week 1 7.3, risk 1.3 (Q; Hand)."
122,Tyler Shough,NO,QB,8,130,true,122,8,Fair At Cost,,16.71,273.1,16,0,,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 122, ADP 130, delta +8. Season 16.1 ppg, Week 1 16.7, risk 0.0."
123,Rachaad White,WAS,RB,7,122.1,true,123,-0.9,Fair At Cost,,7.8,128.22,16,1.3,Q; Calf,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 123, ADP 122, delta -1. Season 7.5 ppg, Week 1 7.8, risk 1.3 (Q; Calf)."
124,Quentin Johnston,LAC,WR,7,109.4,true,124,-14.6,Let Fall,,8.35,124.76,16,1.3,Q; Lower Body,"Good player, but the room is paying for most of the upside. Take him only if he slips near your pick.","Fair 124, ADP 109, delta -15. Season 7.3 ppg, Week 1 8.3, risk 1.3 (Q; Lower Body)."
125,Dalton Schultz,HOU,TE,8,128.4,true,125,3.4,Fair At Cost,,6.41,106.36,16,0,,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 125, ADP 128, delta +3. Season 6.3 ppg, Week 1 6.4, risk 0.0."
126,Jordan Love,GB,QB,11,124.3,true,126,-1.7,Fair At Cost,,16.17,272.56,16,0,,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 126, ADP 124, delta -2. Season 16.0 ppg, Week 1 16.2, risk 0.0."
127,Denzel Boston,CLE,WR,11,131.5,true,127,4.5,Fair At Cost,,5.72,106.71,16,0,,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 127, ADP 132, delta +5. Season 6.3 ppg, Week 1 5.7, risk 0.0."
128,T.J. Hockenson,MIN,TE,6,129.2,true,128,1.2,Fair At Cost,,5.95,104.41,16,0,,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 128, ADP 129, delta +1. Season 6.1 ppg, Week 1 6.0, risk 0.0."
129,Woody Marks,HOU,RB,8,131.6,true,129,2.6,Fair At Cost,,6.46,100.84,16,0,,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 129, ADP 132, delta +3. Season 5.9 ppg, Week 1 6.5, risk 0.0."
130,Khalil Shakir,BUF,WR,7,131.4,true,130,1.4,Fair At Cost,,7.51,124.51,16,1.3,Q; Undisclosed,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 130, ADP 131, delta +1. Season 7.3 ppg, Week 1 7.5, risk 1.3 (Q; Undisclosed)."
131,Alec Pierce,IND,WR,13,91.3,true,131,-39.7,Trap,,9.6,162.4,16,3.5,PUP; Ankle,Do not chase the name or story here; price is ahead of our fair value and the risk/role picture is not clean enough.,"Fair 131, ADP 91, delta -40. Season 9.6 ppg, Week 1 9.6, risk 3.5 (PUP; Ankle)."
132,Jalen Nailor,LV,WR,13,130.2,true,132,-1.8,Fair At Cost,,6.54,99.55,16,0,,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 132, ADP 130, delta -2. Season 5.9 ppg, Week 1 6.5, risk 0.0."
133,Jacory Croskey-Merritt,WAS,RB,7,111.4,true,133,-21.6,Trap,,7.35,124.03,16,1.3,Q; Undisclosed,Do not chase the name or story here; price is ahead of our fair value and the risk/role picture is not clean enough.,"Fair 133, ADP 111, delta -22. Season 7.3 ppg, Week 1 7.3, risk 1.3 (Q; Undisclosed)."
134,Brock Purdy,SF,QB,8,98.3,true,134,-35.7,Trap,,16.43,273.52,15,0.35,15 projected games,Do not chase the name or story here; price is ahead of our fair value and the risk/role picture is not clean enough.,"Fair 134, ADP 98, delta -36. Season 16.1 ppg, Week 1 16.4, risk 0.3 (15 projected games)."
135,Matthew Stafford,LAR,QB,11,100.5,true,135,-34.5,Let Fall,Playable now,16.76,262.19,16,0,,"Good player, but the room is paying for most of the upside. Take him only if he slips near your pick.","Fair 135, ADP 101, delta -34. Season 15.4 ppg, Week 1 16.8, risk 0.0."
136,AJ Barner,SEA,TE,11,126,true,136,-10,Let Fall,Bench clog risk,5.95,98.56,16,0,,"Good player, but the room is paying for most of the upside. Take him only if he slips near your pick.","Fair 136, ADP 126, delta -10. Season 5.8 ppg, Week 1 6.0, risk 0.0."
137,Xavier Worthy,KC,WR,5,128.8,true,137,-8.2,Fair At Cost,Contingent upside,6.86,121.44,16,1.3,Q; Shoulder,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 137, ADP 129, delta -8. Season 7.1 ppg, Week 1 6.9, risk 1.3 (Q; Shoulder)."
138,Deebo Samuel Sr.,SF,WR,8,127.5,true,138,-10.5,Let Fall,Bench clog risk,6.33,102.34,15,0.35,15 projected games,"Good player, but the room is paying for most of the upside. Take him only if he slips near your pick.","Fair 138, ADP 128, delta -10. Season 6.0 ppg, Week 1 6.3, risk 0.3 (15 projected games)."
139,Pat Freiermuth,PIT,TE,9,124.5,true,139,-14.5,Let Fall,Bench clog risk,5.74,97.11,16,0,,"Good player, but the room is paying for most of the upside. Take him only if he slips near your pick.","Fair 139, ADP 125, delta -14. Season 5.7 ppg, Week 1 5.7, risk 0.0."
140,Chig Okonkwo,WAS,TE,7,126.4,true,140,-13.6,Let Fall,Bench clog risk,5.54,98.18,16,0,,"Good player, but the room is paying for most of the upside. Take him only if he slips near your pick.","Fair 140, ADP 126, delta -14. Season 5.8 ppg, Week 1 5.5, risk 0.0."
141,Tre Tucker,LV,WR,13,184,false,141,43,Late Only,Bench clog risk,6.39,91.33,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 141, no ADP; Yahoo rank 184, delta +43. Season 5.4 ppg, Week 1 6.4, risk 0.0."
142,Malik Washington,MIA,WR,6,198,false,142,56,Late Only,Bench clog risk,5.74,93.39,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 142, no ADP; Yahoo rank 198, delta +56. Season 5.5 ppg, Week 1 5.7, risk 0.0."
143,C.J. Stroud,HOU,QB,8,125.6,true,143,-17.4,Let Fall,Playable now,15.65,261.49,16,0,,"Good player, but the room is paying for most of the upside. Take him only if he slips near your pick.","Fair 143, ADP 126, delta -17. Season 15.4 ppg, Week 1 15.7, risk 0.0."
144,Jerry Jeudy,CLE,WR,11,196,false,144,52,Late Only,Bench clog risk,5.27,96.24,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 144, no ADP; Yahoo rank 196, delta +52. Season 5.7 ppg, Week 1 5.3, risk 0.0."
145,Tyrone Tracy Jr.,NYG,RB,8,131,true,145,-14,Let Fall,Bench clog risk,5.61,93.52,16,0,,"Good player, but the room is paying for most of the upside. Take him only if he slips near your pick.","Fair 145, ADP 131, delta -14. Season 5.5 ppg, Week 1 5.6, risk 0.0."
146,Jauan Jennings,MIN,WR,6,126.9,true,146,-19.1,Let Fall,Bench clog risk,5.95,90.66,16,0,,"Good player, but the room is paying for most of the upside. Take him only if he slips near your pick.","Fair 146, ADP 127, delta -19. Season 5.3 ppg, Week 1 6.0, risk 0.0."
147,Kyler Murray,MIN,QB,6,111.7,true,147,-35.3,Trap,Playable now,16.4,263.64,15,0.35,15 projected games,Do not chase the name or story here; price is ahead of our fair value and the risk/role picture is not clean enough.,"Fair 147, ADP 112, delta -35. Season 15.5 ppg, Week 1 16.4, risk 0.3 (15 projected games)."
148,Malik Willis,MIA,QB,6,124.8,true,148,-23.2,Trap,Playable now,16.2,264.23,15,0.35,15 projected games,Do not chase the name or story here; price is ahead of our fair value and the risk/role picture is not clean enough.,"Fair 148, ADP 125, delta -23. Season 15.5 ppg, Week 1 16.2, risk 0.3 (15 projected games)."
149,Keaton Mitchell,LAC,RB,7,131.9,true,149,-17.1,Let Fall,Bench clog risk,5.9,89.62,16,0,,"Good player, but the room is paying for most of the upside. Take him only if he slips near your pick.","Fair 149, ADP 132, delta -17. Season 5.3 ppg, Week 1 5.9, risk 0.0."
150,Baker Mayfield,TB,QB,10,126.3,true,150,-23.7,Let Fall,Playable now,16.1,255.11,16,0,,"Good player, but the room is paying for most of the upside. Take him only if he slips near your pick.","Fair 150, ADP 126, delta -24. Season 15.0 ppg, Week 1 16.1, risk 0.0."
151,George Kittle,SF,TE,8,87,true,151,-64,Risk Discount Needed,Bench clog risk,7.51,129.34,14,3,Q; Achilles; activated from PUP; ramp/age risk; 14 projected games,"Activation is good news, but an Achilles ramp for an older TE is not a normal starter profile.","Week 1 hope is real, but ADP must fall because snap/route ramp and reinjury risk matter more in guillotine."
152,Ryan Flournoy,DAL,WR,14,166,false,152,14,Late Only,Bench clog risk,5.32,90.65,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 152, no ADP; Yahoo rank 166, delta +14. Season 5.3 ppg, Week 1 5.3, risk 0.0."
153,Gunnar Helm,TEN,TE,9,226,false,153,73,Late Only,Bench clog risk,5.29,87.58,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 153, no ADP; Yahoo rank 226, delta +73. Season 5.2 ppg, Week 1 5.3, risk 0.0."
154,Greg Dulcich,MIA,TE,6,131.9,true,154,-22.1,Trap,Bench clog risk,6.14,101.72,14,0.9,14 projected games,Do not chase the name or story here; price is ahead of our fair value and the risk/role picture is not clean enough.,"Fair 154, ADP 132, delta -22. Season 6.0 ppg, Week 1 6.1, risk 0.9 (14 projected games)."
155,Adonai Mitchell,NYJ,WR,13,146,false,155,-9,Late Only,Bench clog risk,5.37,83.4,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 155, no ADP; Yahoo rank 146, delta -9. Season 4.9 ppg, Week 1 5.4, risk 0.0."
156,Dylan Sampson,CLE,RB,11,181,false,156,25,Late Only,Bench clog risk,5.13,84.71,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 156, no ADP; Yahoo rank 181, delta +25. Season 5.0 ppg, Week 1 5.1, risk 0.0."
157,Oronde Gadsden,LAC,TE,7,126.6,true,157,-30.4,Let Fall,Bench clog risk,4.65,87.58,16,0,,"Good player, but the room is paying for most of the upside. Take him only if he slips near your pick.","Fair 157, ADP 127, delta -30. Season 5.2 ppg, Week 1 4.7, risk 0.0."
158,Tyler Allgeier,ARI,RB,14,129.9,true,158,-28.1,Let Fall,Bench clog risk,5.17,82.89,16,0,,"Good player, but the room is paying for most of the upside. Take him only if he slips near your pick.","Fair 158, ADP 130, delta -28. Season 4.9 ppg, Week 1 5.2, risk 0.0."
159,Rashod Bateman,BAL,WR,13,221,false,159,62,Late Only,Bench clog risk,5.35,79.68,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 159, no ADP; Yahoo rank 221, delta +62. Season 4.7 ppg, Week 1 5.3, risk 0.0."
160,Patrick Mahomes,KC,QB,5,99.9,true,160,-60.1,Trap,Stash only,15.84,274.83,16,4,Q; ACL/LCL recovery; Week 1 not guaranteed; one-QB guillotine league,Do not spend a meaningful pick on a QB with Week 1 knee uncertainty in this format.,"Even if he plays, one-QB replacement value and knee ramp make the ADP difficult to justify."
161,Devaughn Vele,NO,WR,8,199,false,161,38,Late Only,Bench clog risk,5.2,78.68,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 161, no ADP; Yahoo rank 199, delta +38. Season 4.6 ppg, Week 1 5.2, risk 0.0."
162,Sam Darnold,SEA,QB,11,122.7,true,162,-39.3,Let Fall,Playable now,15.17,242.58,16,0,,"Good player, but the room is paying for most of the upside. Take him only if he slips near your pick.","Fair 162, ADP 123, delta -39. Season 14.3 ppg, Week 1 15.2, risk 0.0."
163,Terrance Ferguson,LAR,TE,11,126.7,true,163,-36.3,Let Fall,Bench clog risk,4.2,80.48,16,0,,"Good player, but the room is paying for most of the upside. Take him only if he slips near your pick.","Fair 163, ADP 127, delta -36. Season 4.7 ppg, Week 1 4.2, risk 0.0."
164,Brian Robinson,ATL,RB,11,121.7,true,164,-42.3,Let Fall,Bench clog risk,4.75,75.86,16,0,,"Good player, but the room is paying for most of the upside. Take him only if he slips near your pick.","Fair 164, ADP 122, delta -42. Season 4.5 ppg, Week 1 4.8, risk 0.0."
165,Omar Cooper Jr.,NYJ,WR,13,130.2,true,165,-34.8,Let Fall,Bench clog risk,3.95,80.07,16,0,,"Good player, but the room is paying for most of the upside. Take him only if he slips near your pick.","Fair 165, ADP 130, delta -35. Season 4.7 ppg, Week 1 4.0, risk 0.0."
166,Caleb Douglas,MIA,WR,6,195,false,166,29,Late Only,Bench clog risk,4.58,75.71,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 166, no ADP; Yahoo rank 195, delta +29. Season 4.5 ppg, Week 1 4.6, risk 0.0."
167,Isaac TeSlaa,DET,WR,6,125.4,true,167,-41.6,Let Fall,Bench clog risk,4.09,75.42,16,0,,"Good player, but the room is paying for most of the upside. Take him only if he slips near your pick.","Fair 167, ADP 125, delta -42. Season 4.4 ppg, Week 1 4.1, risk 0.0."
168,Ja'Kobi Lane,BAL,WR,13,125.5,true,168,-42.5,Let Fall,Bench clog risk,3.89,75,16,0,,"Good player, but the room is paying for most of the upside. Take him only if he slips near your pick.","Fair 168, ADP 126, delta -42. Season 4.4 ppg, Week 1 3.9, risk 0.0."
169,Mike Washington Jr.,LV,RB,13,122.2,true,169,-46.8,Let Fall,Contingent upside,4.51,70.73,16,0.8,Jeanty ankle contingency,Only a late contingency pick. He matters if Jeanty is limited.,Watch Raiders practice reports; he is a late-round leverage option if the room underreacts to Jeanty's ankle.
170,Daniel Jones,IND,QB,13,127.5,true,170,-42.5,Trap,Playable now,16.27,233.47,15,0.35,15 projected games,Do not chase the name or story here; price is ahead of our fair value and the risk/role picture is not clean enough.,"Fair 170, ADP 128, delta -42. Season 13.7 ppg, Week 1 16.3, risk 0.3 (15 projected games)."
171,Cam Ward,TEN,QB,9,125.3,true,171,-45.7,Let Fall,Playable now,15.35,230.62,16,0,,"Good player, but the room is paying for most of the upside. Take him only if he slips near your pick.","Fair 171, ADP 125, delta -46. Season 13.6 ppg, Week 1 15.3, risk 0.0."
172,Dontayvion Wicks,PHI,WR,10,163,false,172,-9,Late Only,Bench clog risk,5.46,71.06,15,0.35,15 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 172, no ADP; Yahoo rank 163, delta -9. Season 4.2 ppg, Week 1 5.5, risk 0.3 (15 projected games)."
173,Mike Gesicki,CIN,TE,6,313,false,173,140,Late Only,Bench clog risk,4.62,75.92,15,0.35,15 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 173, no ADP; Yahoo rank 313, delta +140. Season 4.5 ppg, Week 1 4.6, risk 0.3 (15 projected games)."
174,Tank Bigsby,PHI,RB,10,130.6,true,174,-43.4,Let Fall,Bench clog risk,4.36,69.17,16,0,,"Good player, but the room is paying for most of the upside. Take him only if he slips near your pick.","Fair 174, ADP 131, delta -43. Season 4.1 ppg, Week 1 4.4, risk 0.0."
175,Germie Bernard,PIT,WR,9,271,false,175,96,Late Only,Bench clog risk,4.07,70.59,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 175, no ADP; Yahoo rank 271, delta +96. Season 4.2 ppg, Week 1 4.1, risk 0.0."
176,Keenan Allen,IND,WR,13,123.9,true,176,-52.1,Trap,Bench clog risk,5.63,81.3,14,0.9,14 projected games,Do not chase the name or story here; price is ahead of our fair value and the risk/role picture is not clean enough.,"Fair 176, ADP 124, delta -52. Season 4.8 ppg, Week 1 5.6, risk 0.9 (14 projected games)."
177,Jalen McMillan,TB,WR,10,129.3,true,177,-47.7,Trap,Bench clog risk,5.46,91.52,16,1.3,Q; Knee,Do not chase the name or story here; price is ahead of our fair value and the risk/role picture is not clean enough.,"Fair 177, ADP 129, delta -48. Season 5.4 ppg, Week 1 5.5, risk 1.3 (Q; Knee)."
178,Darren Waller,CAR,TE,5,287,false,178,109,Late Only,Bench clog risk,5.29,83.2,14,0.9,14 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 178, no ADP; Yahoo rank 287, delta +109. Season 4.9 ppg, Week 1 5.3, risk 0.9 (14 projected games)."
179,Pat Bryant,DEN,WR,10,173,false,179,-6,Late Only,Bench clog risk,4.76,73.56,15,0.35,15 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 179, no ADP; Yahoo rank 173, delta -6. Season 4.3 ppg, Week 1 4.8, risk 0.3 (15 projected games)."
180,Kayshon Boutte,HOU,WR,8,237,false,180,57,Late Only,Bench clog risk,3.62,71.89,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 180, no ADP; Yahoo rank 237, delta +57. Season 4.2 ppg, Week 1 3.6, risk 0.0."
181,Bryce Young,CAR,QB,5,122.2,true,181,-58.8,Let Fall,Playable now,15.22,227.12,16,0,,"Good player, but the room is paying for most of the upside. Take him only if he slips near your pick.","Fair 181, ADP 122, delta -59. Season 13.4 ppg, Week 1 15.2, risk 0.0."
182,Zachariah Branch,ATL,WR,11,222,false,182,40,Late Only,Bench clog risk,3.58,69.8,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 182, no ADP; Yahoo rank 222, delta +40. Season 4.1 ppg, Week 1 3.6, risk 0.0."
183,Cooper Kupp,SEA,WR,11,120.4,true,183,-62.6,Trap,Bench clog risk,4.88,69.58,15,0.35,15 projected games,Do not chase the name or story here; price is ahead of our fair value and the risk/role picture is not clean enough.,"Fair 183, ADP 120, delta -63. Season 4.1 ppg, Week 1 4.9, risk 0.3 (15 projected games)."
184,De'Zhaun Stribling,SF,WR,8,116.4,true,184,-67.6,Trap,Bench clog risk,4.9,91.47,16,1.3,Q; Shoulder,Do not chase the name or story here; price is ahead of our fair value and the risk/role picture is not clean enough.,"Fair 184, ADP 116, delta -68. Season 5.4 ppg, Week 1 4.9, risk 1.3 (Q; Shoulder)."
185,Andrei Iosivas,CIN,WR,6,319,false,185,134,Late Only,Bench clog risk,4.06,66.41,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 185, no ADP; Yahoo rank 319, delta +134. Season 3.9 ppg, Week 1 4.1, risk 0.0."
186,Travis Hunter,JAX,WR,7,126.5,true,186,-59.5,Trap,Bench clog risk,3.86,75.49,15,0.35,15 projected games,Do not chase the name or story here; price is ahead of our fair value and the risk/role picture is not clean enough.,"Fair 186, ADP 127, delta -59. Season 4.4 ppg, Week 1 3.9, risk 0.3 (15 projected games)."
187,Samaje Perine,CIN,RB,6,293,false,187,106,Late Only,Bench clog risk,3.77,67.59,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 187, no ADP; Yahoo rank 293, delta +106. Season 4.0 ppg, Week 1 3.8, risk 0.0."
188,Braelon Allen,NYJ,RB,13,172,false,188,-16,Late Only,Bench clog risk,3.97,65.23,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 188, no ADP; Yahoo rank 172, delta -16. Season 3.8 ppg, Week 1 4.0, risk 0.0."
189,Tre' Harris,LAC,WR,7,180,false,189,-9,Late Only,Bench clog risk,5.17,86.09,16,1.3,Q; Undisclosed,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 189, no ADP; Yahoo rank 180, delta -9. Season 5.1 ppg, Week 1 5.2, risk 1.3 (Q; Undisclosed)."
190,Ray Davis,BUF,RB,7,171,false,190,-19,Late Only,Bench clog risk,3.58,65.19,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 190, no ADP; Yahoo rank 171, delta -19. Season 3.8 ppg, Week 1 3.6, risk 0.0."
